Afghanistan,Asia,0.511
Albania,Europe,0.795
Algeria,Africa,0.748
Andorra,Europe,0.868
Angola,Africa,0.581
Antigua and Barbuda,Central America,0.778
Argentina,South America,0.845
Armenia,Europe,0.776
Australia,Oceania,0.944
Austria,Europe,0.922
Azerbaijan,Europe,0.756
Bahamas,Central America,0.814
Bahrain,Asia,0.852
Bangladesh,Asia,0.632
Barbados,Central America,0.814
Belarus,Europe,0.823
Belgium,Europe,0.931
Belize,Central America,0.716
Benin,Africa,0.545
Bhutan,Asia,0.654
Bolivia,South America,0.718
Bosnia and Herzegovina,Europe,0.78
Botswana,Africa,0.735
Brazil,South America,0.765
Brunei Darussalam,Asia,0.838
Bulgaria,Europe,0.816
Burkina Faso,Africa,0.452
Burundi,Africa,0.433
Cabo Verde,Africa,0.665
Cambodia,Asia,0.594
Cameroon,Africa,0.563
Canada,North America,0.929
Central African Republic,Africa,0.397
Chad,Africa,0.398
Chile,South America,0.851
China,Asia,0.761
Colombia,South America,0.767
Comoros,Africa,0.554
Congo,Africa,0.574
Congo (Democratic republic),Africa,0.48
Costa Rica,Central America,0.81
Cï¿½te d'Ivoire,Africa,0.538
Croatia,Europe,0.851
Cuba,Central America,0.783
Cyprus,Europe,0.887
Czechia,Europe,0.9
Denmark,Europe,0.94
Djibouti,Africa,0.524
Dominica,Central America,0.742
Dominican Republic,Central America,0.756
Ecuador,South America,0.759
Egypt,Africa,0.707
El Salvador,Central America,0.673
Equatorial Quinea,Africa,0.592
Eritrea,Africa,0.459
Estonia,Europe,0.892
Eswatini,Africa,0.611
Ethiopia,Africa,0.485
Fiji,Oceania,0.743
Finland,Europe,0.938
France,Europe,0.901
Gabon,Africa,0.703
Gambia,Asia,0.496
Georgia,Europe,0.812
Germany,Europe,0.947
Ghana,Africa,0.611
Greece,Europe,0.888
Grenada,Central America,0.779
Guatemala,Central America,0.663
Guinea,Africa,0.477
Guinea-Bissau,Africa,0.48
Guyana,South America,0.682
Haiti,Central America,0.51
Honduras,Central America,0.634
Hungary,Europe,0.854
Iceland,Europe,0.949
India,Asia,0.645
Indonesia,Asia,0.718
Iran,Asia,0.783
Iraq,Asia,0.674
Ireland,Europe,0.955
Israel,Asia,0.919
Italy,Europe,0.892
Jamaica,Central America,0.934
Japan,Asia,0.919
Jordan,Asia,0.729
Kazakhstan,Asia,0.825
Kenya,Africa,0.601
Kiribati,Oceania,0.63
Republic of Korea,Asia,0.916
Kuwait,Asia,0.806
Kyrgyzstan,Asia,0.697
Lao People's Democratic Republic,Asia,0.613
Latvia,Europe,0.866
Lebanon,Asia,0.744
Lesotho,Africa,0.527
Liberia,Africa,0.48
Libya,Africa,0.724
Liechtenstein,Europe,0.919
Lithuania,Europe,0.882
Luxembourg,Europe,0.916
Madagascar,Africa,0.528
Malawi,Africa,0.483
Malaysia,Asia,0.41
Maldives,Asia,0.74
Mali,Africa,0.434
Malta,Europe,0.895
Marshall Islands,Oceania,0.704
Mauritania,Africa,0.546
Mauritius,Africa,0.804
Mexico,Central America,0.779
Federal States of Micronesia,Oceania,0.62
Republic of Moldova,Europe,0.75
Mongolia,Asia,0.737
Montenegro,Europe,0.829
Morocco,Africa,0.686
Mozambique,Africa,0.456
Myanmar,Africa,0.583
Namibia,Africa,0.646
Nepal,Asia,0.602
Netherlands,Europe,0.944
New Zealand,Oceania,0.931
Nicaragua,Central America,0.66
Niger,Africa,0.394
Nigeria,Africa,0.539
North Macedonia,Europe,0.774
Norway,Europe,0.957
Oman,Asia,0.813
Pakistan,Asia,0.557
Palau,Oceania,0.826
Panama,Central America,0.815
Papua New Guinea,Oceania,0.555
Paraguay,South America,0.728
Peru,South America,0.777
Philippines,Asia,0.718
Poland,Europe,0.88
Portugal,Europe,0.864
Qatar,Asia,0.848
Romania,Europe,0.828
Russian Federation,Europe,0.824
Rwanda,Africa,0.543
Saint Kitts and Nevis,Central America,0.779
Saint Lucia,North America,0.759
Saint Vincent and the Grenadines,North America,0.738
Samoa,Oceania,0.715
Sao Tome and Principe,Africa,0.625
Saudi Arabia,Asia,0.854
Sengal,Africa,0.512
Serbia,Europe,0.806
Seychelles,Africa,0.796
Sierra Leone,Africa,0.452
Singapore,Asia,0.938
Slovakia,Europe,0.86
Slovenia,Europe,0.917
Solomon Islands,Oceania,0.567
South Africa,Africa,0.709
South Sudan,Africa,0.433
 Spain,Europe,0.904
Sri Lanka,Asia,0.782
Sudan,Africa,0.51
Suriname,South America,0.738
Sweden,Europe,0.945
Switzerland,Europe,0.955
Syrian Arab Republic,Asia,0.567
Tajikistan,Asia,0.668
United Republic of Tanzania,Africa,0.529
Thailand,Asia,0.777
Timor Leste,Asia,0.606
Togo,Africa,0.515
Tonga,Oceania,0.725
Trinidad and Tobago,Central America,0.796
Tunisia,Africa,0.74
Turkey,Asia,0.82
Turkmenistan,Asia,0.715
Uganda,Africa,0.544
Ukraine,Europe,0.779
United Arab Emirates,Asia,0.89
United Kingdom,Europe,0.932
Uruguay,South America,0.926
Uzbekistan,Asia,0.72
Vanuatu,Oceania,0.609
Bolivarian Republic of Venezuela,South America,0.711
Viet Nam,Asia,0.704
Yemen,Asia,0.47
Zambia,Africa,0.584
Zimbabwe,Africa,0.571